orgunit,title,pub_type,date_issued,authors,doi,publisher,abstract_en,abstract_de,pdf_paths,pdf_count
E193,On the Generalization of WiFi-Based Person-Centric Sensing in Through-Wall Scenarios,Inproceedings,2025,"Strohmayer, Julian,Kampel, Martin",10.1007/978-3-031-78354-8_13,None,,,,0
E192,Minimal solutions of fuzzy relation equations via maximal independent elements,Article,2025-02,"Lobo, David,Medina, Jesús,Merkl, Timo Camillo,Pichler, Reinhard",10.1016/j.ins.2024.121558,,"Fuzzy relation equations (FRE) are a useful formalism with a broad number of applications in different computer science areas. Testing if a solution exists and, if so, computing the unique greatest solution is straightforward. In contrast, the computation of minimal solutions is more complex. In particular, even in FRE with a very simple structure, the number of minimal solutions can increase exponentially. However, minimal solutions are immensely useful since, under mild conditions, they (together with the greatest solution) allow one to describe the entire space of solutions to an FRE. The main result of this work is a new method for enumerating the set of minimal solutions. It works by establishing a relationship between coverings of FRE and maximal independent elements of (hyper-)boxes. We can thus make efficient enumeration methods for maximal independent elements of (hyper-)boxes applicable also to our setting of FRE, where the operator considered in the composition of fuzzy relations only needs to preserve suprema of arbitrary subsets and infima of non-empty subsets. More specifically, we thus show that the enumeration of the minimal solutions of an FRE can be done with incremental quasi-polynomial delay.",,,0
E193,Fusing Forces: Deep-Human-Guided Refinement of Segmentation Masks,Inproceedings,2025,"Sterzinger, Rafael,Stippel, Christian,Sablatnig, Robert",10.1007/978-3-031-78198-8_11,None,,,,0
E193,Visual Analytics,Presentation,2025-01-12,"Tuscher, Michaela,Bögl, Markus",,,,,pdfs/Visual_Analytics.pdf,1
E194,Fix Spectre in Hardware! Why and How,Inproceedings,2025-01,"Ertl, Martin",,None,"Spectre can be fixed in hardware by treating speculative microarchitectural state in the same way as speculative architectural state: On mis-speculation throw away all the speculatively-performed changes. The resource-contention side channel needs to be closed, too. This position paper also explains how Spectre works, why software mitigations are not sufficient.",,pdfs/Fix_Spectre_in_Hardware_Why_and_How.pdf;pdfs/Fix_Spectre_in_Hardware_Why_and_How_2.pdf,2
E194,Blended Realities - Higher Education Student Reflections on Acquiring Skills for Game Creation in a Project-Based- and Blended Learning Environment,Article,2025-03,"Palmquist, Adam,Alves, Joana,Baranyi, Rene,Munkvold, Robin,Carvalho, Vítor,Oliveira, Eva",10.1145/3704414,,"This study delves into higher education students' active participation in an Erasmus+ blended intensive program (BIP) that focuses on teaching game creation. Three universities facilitated the BIP, which had 22 international students. The program, designed around project-based learning and onsite/online collaboration, empowered students to better prepare them for careers in the game industry. Two student focus groups were analyzed using thematic analysis to understand the students' perceptions of the educational approach. The investigation findings emphasize that aligning game creation teaching with conditions and technologies in the game industry is challenging in practice despite its apparent simplicity on paper. It also underscores the crucial role of soft skills and transversal competencies in game creation education. These skills, often overlooked, play a vital role in the success of game creation projects. With this study, we wish to contribute to the discourse on game education by offering insights into the enablers and barriers to teaching game creation within higher education. It provides ten useful considerations for game scholars and educators to deliberate in their profession.",,,0
E194,How to Implement Words (Efficiently),Inproceedings,2025,"Ertl, M. Anton",,None,"The implementation of Forth words has to satisfy the following requirements: 1) A word must be represented by a single cell (for execute). 2) A word may represent a combination of code and data (for, e.g., does>).  In addition, on some hardware, keeping executed native code and (written) data close together results in slowness and therefore should be avoided; moreover, failing to pair up calls with returns results in (slow) branch mispredictions.  The present work describes how various Forth systems over the decades have satisfied the requirements, and how many systems run into performance pitfalls in various situations. This paper also discusses how to avoid this slowness, including in native-code systems.",,pdfs/How_to_Implement_Words_Efficiently.pdf;pdfs/How_to_Implement_Words_Efficiently_2.pdf,2
E192,A Biased Random Key Genetic Algorithm for Solving the Longest Common Square Subsequence Problem,Article,2025,"Reixach, Jaume,Blum, Christian,Djukanovic, Marko,Raidl, Günther R.",10.1109/TEVC.2024.3413150,,"This paper considers the longest common square subsequence (LCSqS) problem, a variant of the longest common subsequence (LCS) problem in which solutions must be square strings. A square string can be expressed as the concatenation of a string with itself. The LCSqS problem has applications in bioinformatics, for discovering internal similarities between molecular structures. We propose a metaheuristic approach, a biased random key genetic algorithm (BRKGA) hybridized with a beam search from the literature. Our approach is based on reducing the LCSqS problem to a set of promising LCS problems. This is achieved by cutting each input string into two parts first and then evaluating such a transformed instance by solving the LCS problem for the obtained overall set of strings. The task of the BRKGA is, hereby, to find a set of good cut points for the input strings. For this purpose, the search is carefully biased by problem-specific greedy information. For each cut point vector, the resulting LCS problem is approximately solved by the existing beam search approach. The proposed algorithm is evaluated against a previously proposed state-of-the-art variable neighborhood search (VNS) on random uniform instances from the literature, new non-uniform instances, and a real-world instance set consisting of DNA strings. The results underscore the importance of our work, as our novel approach outperforms former state-of-the-art with statistical significance. Particularly, they evidence the limitations of the VNS when solving non-uniform instances, for which our method shows superior performance.",,,0
E193,Digitale Kultur & AI in Lehre & Ethik,Presentation,2025-01-22,"Purgathofer, Peter",,,,,,0
E194,Splitting Stump Forests: Tree Ensemble Compression for Edge Devices,Inproceedings,2025-01-28,"Alkhoury, Fouad,Welke, Pascal",10.1007/978-3-031-78980-9_1,Springer Nature,We introduce Splitting Stump Forests – small ensembles of weak learners extracted from a trained random forest. The high memory consumption of random forest ensemble models renders them unfit for resource-constrained devices. We show empirically that we can significantly reduce the model size and inference time by selecting nodes that evenly split the arriving training data and applying a linear model on the resulting representation. Our extensive empirical evaluation indicates that Splitting Stump Forests outperform random forests and state-of-the-art compression methods on memory-limited embedded devices.,,pdfs/Splitting_Stump_Forests_Tree_Ensemble_Compression_for_Edge_Devices.pdf,1
E193;E192,An introduction to and survey of biological network visualization,Article,2025-02,"Ehlers, Henry,Brich, Nicolas,Krone, Michael,Nöllenburg, Martin,Yu, Jiacheng,Natsukawa, Hiroaki,Yuan, Xiaoru,Wu, Hsiang-Yun",10.1016/j.cag.2024.104115,,"Biological networks describe complex relationships in biological systems, which represent biological entities as vertices and their underlying connectivity as edges. Ideally, for a complete analysis of such systems, domain experts need to visually integrate multiple sources of heterogeneous data, and visually, as well as numerically, probe said data in order to explore or validate (mechanistic) hypotheses. Such visual analyses require the coming together of biological domain experts, bioinformaticians, as well as network scientists to create useful visualization tools. Owing to the underlying graph data becoming ever larger and more complex, the visual representation of such biological networks has become challenging in its own right. This introduction and survey aims to describe the current state of biological network visualization in order to identify scientific gaps for visualization experts, network scientists, bioinformaticians, and domain experts, such as biologists, or biochemists, alike. Specifically, we revisit the classic visualization pipeline, upon which we base this paper’s taxonomy and structure, which in turn forms the basis of our literature classification. This pipeline describes the process of visualizing data, starting with the raw data itself, through the construction of data tables, to the actual creation of visual structures and views, as a function of task-driven user interaction. Literature was systematically surveyed using API-driven querying where possible, and the collected papers were manually read and categorized based on the identified sub-components of this visualization pipeline’s individual steps. From this survey, we highlight a number of exemplary visualization tools from multiple biological sub-domains in order to explore how they adapt these discussed techniques and why. Additionally, this taxonomic classification of the collected set of papers allows us to identify existing gaps in biological network visualization practices. We finally conclude this report with a list of open challenges and potential research directions. Examples of such gaps include (i) the overabundance of visualization tools using schematic or straight-line node-link diagrams, despite the availability of powerful alternatives, or (ii) the lack of visualization tools that also integrate more advanced network analysis techniques beyond basic graph descriptive statistics.",,,0
E192,Hybrid Reinforced Medical Report Generation With M-Linear Attention and Repetition Penalty,Article,2025-02,"Xu, Zhenghua,Xu, Wenting,Wang, Ruizhi,Chen, Junyang,Qi, Chang,Lukasiewicz, Thomas",10.1109/TNNLS.2023.3343391,,,,,0
E192,Self-Supervised Medical Image Segmentation Using Deep Reinforced Adaptive Masking,Article,2025-01,"Xu, Zhenghua,Liu, Yunxin,Xu, Gang,Lukasiewicz, Thomas",10.1109/TMI.2024.3436608,,"Self-supervised learning aims to learn transferable representations from unlabeled data for downstream tasks. Inspired by masked language modeling in natural language processing, masked image modeling (MIM) has achieved certain success in the field of computer vision, but its effectiveness in medical images remains unsatisfactory. This is mainly due to the high redundancy and small discriminative regions in medical images compared to natural images. Therefore, this paper proposes an adaptive hard masking (AHM) approach based on deep reinforcement learning to expand the application of MIM in medical images. Unlike predefined random masks, AHM uses an asynchronous advantage actor-critic (A3C) model to predict reconstruction loss for each patch, enabling the model to learn where masking is valuable. By optimizing the non-differentiable sampling process using reinforcement learning, AHM enhances the understanding of key regions, thereby improving downstream task performance. Experimental results on two medical image datasets demonstrate that AHM outperforms state-of-the-art methods. Additional experiments under various settings validate the effectiveness of AHM in constructing masked images.",,,0
E192,Aggregated Mutual Learning between CNN and Transformer for semi-supervised medical image segmentation,Article,2025-02-28,"Xu, Zhenghua,Wang, Hening,Yang, Runhe,Yang, Yuchen,Liu, Weipeng,Lukasiewicz, Thomas",10.1016/j.knosys.2025.113005,,"Recent Advances show that both Convolutional layers and Transformer blocks have their own advantages in the feature learning tasks of medical image analysis. However, the existing models combining both CNN and Transformers cannot effectively integrate the features extracted by both networks. In this work, we propose a new semi-supervised medical image segmentation method which can effectively aggregate mutual learning between CNN and Transformer, denoted AML-CT, which consists of an auxiliary module and a main network. Specifically, the auxiliary module consists of two segmentation subnetworks based on CNN and Transformer, aiming at extracting features from different perspectives, where, to enhance integration of image features from distinct segmentation networks, a Cross-Branch Feature Fusion module is proposed to effectively fuses local and global information via internal cross-fusion of feature maps between networks. Then, to aggregate the extracted image features from the auxiliary module, a three-branch network (TB-net) structure is further proposed to learn the extracted joint features and facilitate aggregation of multi-source information. Experimental results on two public datasets demonstrate that: (i) AML-CT successfully accomplishes medical image segmentation tasks with limited labeled data, outperforming recent mainstream semi-supervised segmentation methods; (ii) Ablation studies confirm the effectiveness of each module in the AML-CT model for performance improvement.",,,0
E191;E384,Enhancing Industrial Cybersecurity: Insights from Analyzing Threat Groups and Strategies in Operational Technology Environments,Article,2025,"Bhole, Mukund,Sauter, Thilo,Kastner, Wolfgang",10.1109/OJIES.2025.3527585,,"In recent years, concepts and components of Information Technology (IT) have made their way into the shop floor, today better known as Operational Technology (OT). The increasing interconnection and convergence of IT and OT have exposed industrial infrastructures to cyber attacks. In addition, they have become vulnerable to Advanced Persistent Threats (APTs). This article examines real-world incidents, looking at the complex landscape of threat groups targeting OT environments and the Tactic, Technique, and Procedures (TTPs) employed by these threat groups. Consequently, it highlights the need for increased vigilance in protecting OT environments, which can be done by using a variety of open-source threat intelligence platforms and databases, including ThaiCERT, Malpedia, MITRE ATT&CK, and ICS-CERT. We aim to provide relevant stakeholders (manufacturers, asset owners and system integrators), including Chief Information Security Officers (CISOs), with information on emerging threat groups, attack victims and their locations, the origins of attacks, the tools and types of tools used, and the motivations behind these attacks. This understanding is crucial to improving defensive strategies based on relevant standards and frameworks and protecting OT environments against evolving cyber threats.",,pdfs/Enhancing_Industrial_Cybersecurity_Insights_from_Analyzing_Threat_Groups_and_Strategies_in_Operational_Technology_Environments.pdf,1
E056;E192,Simple Linear Loops: Algebraic Invariants and Applications,Inproceedings,2025,"Ait El Manssour, Rida,Kenison, George,Shirmohammadi, Mahsa,Varonka, Anton",10.1145/3704862,Association for Computing Machinery,"The automatic generation of loop invariants is a fundamental challenge in software verification. While this task is undecidable in general, it is decidable for certain restricted classes of programs. This work focuses on invariant generation for (branching-free) loops with a single linear update. Our primary contribution is a polynomial-space algorithm that computes the strongest algebraic invariant for simple linear loops, generating all polynomial equations that hold among program variables across all reachable states. The key to achieving our complexity bounds lies in mitigating the blow-up associated with variable elimination and Gröbner basis computation, as seen in prior works. Our procedure runs in polynomial time when the number of program variables is fixed. We examine various applications of our results on invariant generation, focusing on invariant verification and loop synthesis. The invariant verification problem investigates whether a polynomial ideal defining an algebraic set serves as an invariant for a given linear loop. We show that this problem is coNP-complete and lies in PSPACE when the input ideal is given in dense or sparse representations, respectively. In the context of loop synthesis, we aim to construct a loop with an infinite set of reachable states that upholds a specified algebraic property as an invariant. The strong synthesis variant of this problem requires the construction of loops for which the given property is the strongest invariant. In terms of hardness, synthesising loops over integers (or rationals) is as hard as Hilbert's Tenth problem (or its analogue over the rationals). When the constants of the output are constrained to bit-bounded rational numbers, we demonstrate that loop synthesis and its strong variant are both decidable in PSPACE, and in NP when the number of program variables is fixed.",,pdfs/Simple_Linear_Loops_Algebraic_Invariants_and_Applications.pdf,1
E193,Künstliche Intelligenz im Personalmanagement – des Computers neue Kleider,Presentation,2025-01-23,"Purgathofer, Peter",,,,,,0
E193,On the Importance of Local and Global Feature Learning for Automated Measurable Residual Disease Detection in Flow Cytometry Data,Inproceedings,2025,"Weijler, Lisa,Reiter, Michael,Hermosilla, Pedro,Maurer-Granofszky, Margarita,Dworzak, Michael",10.1007/978-3-031-78198-8_21,None,,,,0
E194,Lifted inference beyond first-order logic,Article,2025-05,"Malhotra, Sagar,Bizzaro, Davide,Serafini, Luciano",10.1016/j.artint.2025.104310,,"Weighted First Order Model Counting (WFOMC) is fundamental to probabilistic inference in statistical relational learning models. As WFOMC is known to be intractable in general (#P-complete), logical fragments that admit polynomial time WFOMC are of significant interest. Such fragments are called domain liftable. Recent works have shown that the two-variable fragment of first order logic extended with counting quantifiers (C²) is domain-liftable. However, many properties of real-world data, like acyclicity in citation networks and connectivity in social networks, cannot be modeled in C², or first order logic in general. In this work, we expand the domain liftability of C² with multiple such properties. We show that any C² sentence remains domain liftable when one of its relations is restricted to represent a directed acyclic graph, a connected graph, a tree (resp. a directed tree) or a forest (resp. a directed forest). All our results rely on a novel and general methodology of counting by splitting. Besides their application to probabilistic inference, our results provide a general framework for counting combinatorial structures. We expand a vast array of previous results in discrete mathematics literature on directed acyclic graphs, phylogenetic networks, etc.",,,0
E193,The Sampling-Reconstruction Dual,Presentation,2025-02,"Ohrhallinger, Stefan",,,"Reconstructing surfaces of the real world from scans is an important and challenging problem. Its feasibility is limited by the number of the acquired points and their geometric configuration. The question of how many points exactly are required for the faithful reconstruction of the features leads to its inverse problem, sampling a known surface with the least possible number of points.
 
This talk is about reconstruction algorithms and attempts to prove their theoretical bounds in the number of points required and its dual, sampling curves (as their simpler 2D equivalent) and surfaces with specified bounds from different representations such as meshes, smooth higher-order boundaries, subdivision limit surfaces, and signed distance functions, depending on the application, e.g., lossless reduction of scanned data size, measuring scan error, handling scan artifacts such as noise, outliers, and holes, or secondary goals such as accelerating simulations.
 
The underlying assumption is that the smooth surface (reconstructed, or sampled) is richer than the sparse discrete set of geometric primitives (points + connectivity) it is represented with, leading to the goal of representing object boundaries, e.g., from the physical world, with the least amount of geometry.",,,0
E193,Digital Shadows: Exploring the Other and the I in Communication with Thanabots,Inproceedings,2025,"Dobrosovestnova, Anna,Machado, Felipe,Reinboth, Tim",10.3233/FAIA241523,None,"The development of large language models (LLMs) has led to the proliferation of chatbot services like ChatGPT, Replika and Project December further contributing to technologically mediated grief. Called variously griefbots, or thanabots, the postulated aim behind these technologies is to help people deal with the loss of their loved ones. Despite hype around these technologies in the media, little is still known about the actual mechanisms of how thanabots contribute
to grieving. This paper contributes to answering this question by offering an interpretation of communication with thanabots through the prism of Yuri Lotman’s autocommunication model. We start by examining how a thanabot can be framed
as a communicational ‘other’. Then we draw on phenomenology of grief literature to delineate the boundaries of such “otherness”. In line with the Lotman’s autocommunication model, we proceed to argue that conversing with a thanabot can be viewed as an instance of ‘I–I’ communication. Within this model, the bot functions as a secondary code that allows for new meaning to arise in the process of communication and, consequently, for a bereaved person to renegotiate their new identity in the face of loss.",,,0
E056;E192,Parameterized complexity of abstract argumentation with collective attacks,Article,2025,"Dvořák, Wolfgang,König, Matthias,Woltran, Stefan",10.1177/19462174251319186,,"Abstract argumentation has proven to be a versatile tool to model and analyze various problems in an argumentative setting. The addition of collective attacks syntactically extends Dung’s original argumentation frameworks (AFs), while retaining the most desirable properties—the resulting class of frameworks is called SETAFs. While most reasoning tasks in the realm of abstract argumentation have been shown to be intractable, real-world instances oftentimes are not entirely random but admit a certain structure that allows for efficient computational shortcuts. In certain cases, we can characterize this structure via an integer parameter, and exploit these insights with advanced algorithmic techniques. A thorough analysis of the computational aspects of SETAFs w.r.t. parameterized algorithms has not yet been conducted. We start the investigation of these approaches by applying the backdoor and treewidth approaches to SETAFs. A backdoor is a part of a problem instance, such that removing the backdoor leads to a simple structure. If we can find such a backdoor and guess the solution on this part (respectively, extensions), the rest of the solution follows almost effortlessly. Similarly, the treewidth of a problem instance is a parameter that characterizes the properties of the instance’s graph structure. Intuitively, the lower the treewidth of a graph, the more “tree-like” it is. Since most argumentation problems become easy on trees, one can exploit low treewidth for efficient algorithms. In this paper, we establish that for SETAFs with constant backdoor sizes general argumentation tasks become efficiently solvable—they are fixed-parameter tractable. We generalize the respective techniques that are known for the special case of Dung-style AFs and show that they also apply to the more general case of SETAFs. In addition, we can show an improvement in the asymptotic runtime compared to earlier approaches for AFs via two-valued guesses instead of the state-of-the-art three-valued approach. Along the way, we point out similarities and interesting situations arising from the more general setting. While treewidth is well-studied in the context of AFs with their graph structure, it cannot be directly applied to the (directed) hypergraphs representing SETAFs. We thus introduce two generalizations of treewidth based on different graphs that can be associated with SETAFs, that is, the primal graph and the incidence graph. We show that while some of these notions allow for parameterized tractability results, reasoning remains intractable for other notions, even if we fix the parameter to a small constant. We present parameterized algorithms for efficient reasoning on SETAFs via tree decompositions by characterizing extensions not only by labeling the arguments, but also by assigning (temporary) labels to the attacks.",,,0
E056;E194,Interactive Knowledge-Based Kernel PCA for Solvent Selection,Article,2025-03-13,"Boobier, Samuel,Heeley, Joseph,Gärtner, Thomas,Hierst, Jonathan D.",10.1021/acssuschemeng.4c07974,,"Selecting more sustainable solvents is a crucial component to mitigating the environmental impacts of chemical processes. Numerous tools have been developed to address this problem within the pharmaceutical industry, employing data-driven approaches such as multidimensional scaling or principal component analysis (PCA). Interactive knowledge-based kernel PCA is a variant of PCA that allows users to shape 2D solvent maps by defining the positions of data points, imparting expert knowledge that was not included in the original descriptor set. We have applied interactive PCA to the task of solvent selection and present an intuitive interface that is integrated into AI4Green, an electronic laboratory notebook that encourages sustainable chemistry. A set of evidence-based user guidelines were developed and used in combination with the interactive PCA to identify four potential solvent substitutions for an example thioesterification reaction.",,,0
E056;E192,Multi-neighborhood simulated annealing for the oven scheduling problem,Article,2025-05,"Da Ros, Francesca,Di Gaspero, Luca,Lackner, Marie-Louise,Musliu, Nysret,Winter, Felix",10.1016/j.cor.2025.106999,,"The Oven Scheduling Problem (OSP) is an NP-hard real-world parallel batch scheduling problem that arises in the semiconductor manufacturing sector. It aims to group compatible jobs in batches and to find an optimal schedule in order to reduce oven runtime, setup costs, and job tardiness. This work proposes a Simulated Annealing (SA) algorithm for the OSP, encompassing a unique combination of four neighborhoods and a construction heuristic as initial solution. An extensive experimental evaluation is performed, benchmarking the proposed SA algorithm against state-of-the-art methods. The results show that this approach consistently finds new upper bounds for large instances, while for smaller instances, it achieves solutions of comparable quality to state-of-the-art methods. These results are delivered in significantly less time than the literature approaches require. Additionally, the SA is extended to tackle a related batch scheduling problem from the literature. Even in this case, the algorithm confirms its effectiveness and robustness across different problem formulations by improving results for many instances.",,,0
E056;E193;E057,Single-Exemplar Lighting Style Transfer via Emissive Texture Synthesis and Optimization,Inproceedings,2025,"Ecormier-Nocca, Pierre,Lipp, Lukas,Ulschmid, Annalena,Hahn, David,Wimmer, Michael",10.5220/0013193900003912,SciTePress,"Lighting is a key component in how scenes are perceived. However, many interior lighting situations are currently either handcrafted by expert designers, or simply consist of basic regular arrangements of luminaires, such as to reach uniform lighting at a predefined brightness. Our method aims to bring more interesting lighting configurations to various scenes in a semi-automatic manner designed for fast prototyping by non-expert users. Starting from a single photograph of a lighting configuration, we allow users to quickly copy and adapt a lighting style to any 3D scene. Combining image analysis, texture synthesis, and light parameter optimization, we produce a lighting design for the target 3D scene matching the input image. We validate via a user study that our results successfully transfer the desired lighting style more accurately and realistically than state-of-the-art generic style transfer methods. Furthermore, we investigate the behaviour of our method under potential altern ative choices in an ablation study.",,,0
E194,Interrogation Testing of Program Analyzers for Soundness and Precision Issues,Presentation,2025-02-24,"Christakis, Maria",,,,,,0
E056;E191;E384,Why to Fail Fast and Often: A Strategy for OT Safety and Security Evaluation,Article,2025-03-20,"Bhole, Mukund,Sauter, Thilo,Semper, Sabrina,Kastner, Wolfgang",10.1109/ACCESS.2025.3553011,,"As the Operational Technology (OT) environment becomes increasingly interconnected and integrates diverse technologies, traditional models often struggle to accurately represent the complex interactions and dependencies of the underlying systems. Factors like changes in operational conditions, software updates, and the introduction of new devices can significantly impact the system’s risk profile. This paper presents a methodology to bridge the gap between manual and automated safety and security requirements in Industry 4.0 OT environments. First, a meta-model is developed to capture OT infrastructure components and relationships. This is then transformed into a C#-based GUI, enabling tasks like network scanning, application and interface identification, and AI-powered data extraction. Next, compliance checks and risk assessments are conducted using standards such as IEC 62443-3-3 and methods like LOPA, SEFR (HAZID), STRIDE, and DREAD. Finally, the data is converted into system models (e.g., OWL, AutomationML) for visualization. This approach reduces complexity and time by 83.72%, though it faces challenges like platform dependency and resource constraints.",,pdfs/Why_to_Fail_Fast_and_Often_A_Strategy_for_OT_Safety_and_Security_Evaluation.pdf,1
